id_vivienda,estrato,municipio,id_hogar,numero_personas,numero_hombres,numero_mujeres,felicidad_bin,satisfaccion_bin,menores_18,mayores_62,adultos_18_62,alguien_no_lee>10,personas_educandose,personas_no_sanas,personas_trabajaron_ultimos_7_dias,alguien_afiliado_pensiones,tipo_vivienda,espacios_vivienda,acueducto,alcantarillado,energia_electrica,gas_natural,material_pisos,material_paredes,combustible_cocinar,nevera,lavadora,licuadora,tv,television_por_cable,calentador_agua,microondas,aire_acondicionado,computador,equipo_de_sonido,motocicleta,ventilador,dvd,carro,frec_problemas_alimentacion,compara_situacion_año_pasado,empleo_proporciona_condiciones_economicas,ciudad_ofrece_oportunidades,control_decisiones,probabilidad_victima_delito,se_considera_pobre,ingreso_mensual_hogar_para_necesidades_SMMLV,recoleccion_basuras,usufructo_vivienda,felicidad_hogar,satisfaccion_hogar_forma_vida,rango_SMMLV_necesidades_mes,nivel_sisben,internet,frec_problemas_vestir,frec_problemas_medicamentos,frec_problemas_vivienda,frec_problemas_asistencia_escolar,ha_sido_victima_robo,ingreso_mensual_hogar
2018_pue_1159,1.0,puerto colombia,1159.0,4.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,no,1.0,0.0,2.0,no,casa,2.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,no,no,si,no,no,si,no,no,no,no,si,no,no,no,nunca,igual,no,no,control sobre la mayoría de decisiones,muy probable,no,entre 1 y 2 salarios mínimos,si,"propia, parcialmente pagada",muy feliz,muy satisfecho,entre 1 y 2 salarios mínimos,1.0,si,a veces,raramente,nunca,a veces,no,781242.0
2018_pue_1160,2.0,puerto colombia,1160.0,5.0,2.0,3.0,1.0,1.0,3.0,0.0,2.0,no,3.0,0.0,2.0,si,casa,3.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,no,no,si,no,no,si,no,si,no,no,no,nunca,igual,no,si,control sobre todas las decisiones,muy probable,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",muy feliz,muy satisfecho,entre 2 y 5 salarios mínimos,3.0,si,raramente,a veces,a menudo,nunca,no,1000000.0
2018_bar_1161,1.0,barranquilla,1161.0,4.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,no,2.0,0.0,2.0,si,apartamento,4.0,no,no,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,si,no,no,si,no,si,no,si,no,a veces,peor,si,no,control sobre la mayoría de decisiones,algo probable,no,entre 1 y 2 salarios mínimos,no,"propia, parcialmente pagada",muy feliz,satisfecho,entre 1 y 2 salarios mínimos,3.0,no,a menudo,a veces,a veces,a veces,no,100000.0
2018_bar_1162,1.0,barranquilla,1162.0,3.0,0.0,3.0,1.0,1.0,2.0,0.0,1.0,no,2.0,0.0,1.0,si,apartamento,4.0,si,si,si,si,"madera burda, tabla, tablón, otro vegetal","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,no,si,si,no,no,si,no,no,si,no,no,no,no,no,raramente,mejor,si,si,control sobre la mayoría de decisiones,muy probable,no,entre 1 y 2 salarios mínimos,si,"propia, parcialmente pagada",muy feliz,muy satisfecho,entre 1 y 2 salarios mínimos,2.0,si,raramente,raramente,raramente,raramente,no,800000.0
2018_bar_1163,1.0,barranquilla,1163.0,3.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,no,2.0,0.0,1.0,si,casa,4.0,si,si,si,si,"madera burda, tabla, tablón, otro vegetal","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,no,no,no,no,no,no,no,no,no,no,no,no,raramente,igual,no,no,control sobre la mayoría de decisiones,poco probable,si,entre 1 y 2 salarios mínimos,si,en arriendo o subarriendo,bastante feliz,insatisfecho,entre 1 y 2 salarios mínimos,1.0,no,a veces,a veces,raramente,nunca,no,800000.0
2018_pue_1164,2.0,puerto colombia,1164.0,3.0,0.0,3.0,1.0,1.0,2.0,0.0,1.0,no,1.0,0.0,1.0,si,apartamento,2.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,no,si,si,no,no,si,no,no,no,no,no,no,no,no,nunca,igual,no,si,control sobre todas las decisiones,muy probable,no,entre 1 y 2 salarios mínimos,si,"propia, parcialmente pagada",muy feliz,muy satisfecho,entre 2 y 5 salarios mínimos,3.0,si,a menudo,a veces,raramente,nunca,no,781242.0
2018_pue_1165,2.0,puerto colombia,1165.0,5.0,2.0,3.0,1.0,1.0,1.0,0.0,4.0,no,0.0,0.0,3.0,no,casa,3.0,si,si,si,si,"madera burda, tabla, tablón, otro vegetal","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,no,no,si,no,no,si,no,no,no,no,si,no,no,no,raramente,igual,no,no,control sobre todas las decisiones,muy probable,no,menos de 1 salario mínimo,si,en arriendo o subarriendo,bastante feliz,muy satisfecho,entre 1 y 2 salarios mínimos,3.0,si,a menudo,a veces,nunca,nunca,no,600000.0
2018_mal_1166,1.0,malambo,1166.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,no,0.0,0.0,1.0,no,casa,4.0,si,si,si,si,"madera burda, tabla, tablón, otro vegetal","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,no,si,si,no,no,si,no,no,no,no,no,no,no,no,a veces,igual,no,no,control sobre todas las decisiones,nada probable,no,menos de 1 salario mínimo,si,posesión sin titulo o propiedad colectiva,no muy feliz,satisfecho,entre 2 y 5 salarios mínimos,1.0,si,a veces,a veces,a veces,a veces,no,750000.0
2018_bar_1167,1.0,barranquilla,1167.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,no,0.0,0.0,0.0,no,casa,5.0,si,si,si,si,"madera burda, tabla, tablón, otro vegetal","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,no,no,si,si,no,no,si,no,si,no,no,no,a menudo,mejor,si,si,control sobre todas las decisiones,algo probable,no,entre 1 y 2 salarios mínimos,si,"propia, parcialmente pagada",muy feliz,muy satisfecho,entre 2 y 5 salarios mínimos,1.0,si,a menudo,a menudo,a menudo,a menudo,no,950000.0
2018_bar_1168,1.0,barranquilla,1168.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,no,0.0,0.0,1.0,si,apartamento,6.0,si,si,si,si,"madera burda, tabla, tablón, otro vegetal","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,no,no,no,no,no,no,no,no,no,no,no,no,nunca,mejor,si,si,control sobre todas las decisiones,algo probable,no,entre 1 y 2 salarios mínimos,si,"propia, parcialmente pagada",muy feliz,muy satisfecho,entre 1 y 2 salarios mínimos,2.0,no,nunca,nunca,nunca,nunca,no,848000.0
2018_bar_1169,1.0,barranquilla,1169.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,no,0.0,0.0,0.0,no,casa,4.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,no,si,si,no,no,si,si,si,si,si,no,siempre,mejor,si,no,control sobre la mayoría de decisiones,poco probable,no,entre 1 y 2 salarios mínimos,no,"propia, parcialmente pagada",muy feliz,muy satisfecho,entre 1 y 2 salarios mínimos,1.0,si,siempre,siempre,siempre,siempre,no,900000.0
