id_vivienda,estrato,municipio,id_hogar,numero_personas,numero_hombres,numero_mujeres,menores_18,mayores_62,adultos_18_62,alguien_no_lee>10,personas_educandose,maxima_educacion,personas_no_sanas,personas_trabajaron_ultimos_7_dias,alguien_afiliado_pensiones,tipo_vivienda,espacios_vivienda,acueducto,alcantarillado,energia_electrica,gas_natural,material_pisos,material_paredes,combustible_cocinar,nevera,lavadora,licuadora,tv,television_por_cable,calentador_agua,microondas,aire_acondicionado,computador,equipo_de_sonido,motocicleta,ventilador,dvd,carro,frec_problemas_alimentacion,compara_situacion_año_pasado,empleo_proporciona_condiciones_economicas,ciudad_ofrece_oportunidades,control_decisiones,probabilidad_victima_delito,se_considera_pobre
2013_bar_13,2.0,barranquilla,13.0,7.0,2.0,5.0,4.0,0.0,3.0,no,4.0,universitaria,0.0,2.0,no,casa,4.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,si,no,si,si,no,si,si,no,a veces,peor,no,no,control sobre algunas decisiones,muy probable,si
2013_bar_14,2.0,barranquilla,14.0,4.0,2.0,2.0,2.0,0.0,2.0,no,2.0,universitaria,0.0,1.0,no,casa,4.0,no,no,si,no,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,no,si,si,no,no,no,no,no,no,si,si,no,raramente,igual,si,no,control sobre todas las decisiones,muy probable,no
2013_bar_15,2.0,barranquilla,15.0,6.0,3.0,3.0,3.0,1.0,2.0,no,4.0,básica secundaria,1.0,2.0,no,casa,4.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,si,si,no,si,no,no,a menudo,igual,no,no,control sobre todas las decisiones,algo probable,no
2013_bar_16,2.0,barranquilla,16.0,4.0,1.0,3.0,1.0,1.0,2.0,no,1.0,media,0.0,0.0,si,casa,5.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,si,no,no,si,no,no,raramente,mejor,no,no,control sobre algunas decisiones,poco probable,si
2013_bar_17,1.0,barranquilla,17.0,5.0,3.0,2.0,2.0,0.0,3.0,no,2.0,básica secundaria,5.0,1.0,si,casa,3.0,no,no,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,no,no,no,si,no,no,a veces,peor,no,no,control sobre todas las decisiones,algo probable,si
2013_bar_18,2.0,barranquilla,18.0,5.0,1.0,4.0,2.0,0.0,3.0,no,2.0,universitaria,0.0,1.0,no,casa,4.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,no,si,no,no,si,no,si,si,no,si,si,no,a veces,peor,no,si,control sobre la mayoría de decisiones,poco probable,si
2013_bar_19,2.0,barranquilla,19.0,6.0,2.0,4.0,3.0,0.0,3.0,si,3.0,universitaria,1.0,1.0,si,casa,3.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,si,si,si,no,no,si,si,si,nunca,igual,si,no,control sobre todas las decisiones,muy probable,no
2013_bar_20,3.0,barranquilla,20.0,1.0,0.0,1.0,0.0,0.0,1.0,no,0.0,media,0.0,0.0,no,apartamento,5.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,si,si,no,no,si,no,no,nunca,mejor,si,si,control sobre todas las decisiones,algo probable,no
2013_bar_21,1.0,barranquilla,21.0,5.0,1.0,4.0,1.0,1.0,2.0,no,3.0,universitaria,0.0,0.0,no,casa,3.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,si,si,no,si,no,no,a veces,mejor,si,si,control sobre algunas decisiones,muy poco probable,no
2013_bar_22,3.0,barranquilla,22.0,5.0,3.0,2.0,1.0,1.0,3.0,no,1.0,básica secundaria,0.0,3.0,si,casa,6.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,no,si,no,si,si,no,raramente,peor,si,no,control sobre muy pocas decisiones,muy poco probable,no
2013_bar_23,3.0,barranquilla,23.0,5.0,1.0,4.0,0.0,0.0,4.0,no,1.0,universitaria,4.0,0.0,no,casa,3.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,no,si,no,si,si,no,nunca,peor,si,no,control sobre todas las decisiones,muy probable,si
2013_bar_24,3.0,barranquilla,24.0,7.0,4.0,3.0,2.0,0.0,5.0,no,2.0,universitaria,1.0,4.0,si,casa,4.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,si,si,si,si,si,no,si,si,si,raramente,peor,si,si,control sobre la mayoría de decisiones,muy poco probable,no
2013_bar_26,3.0,barranquilla,26.0,6.0,2.0,4.0,0.0,1.0,0.0,no,0.0,media,1.0,0.0,no,casa,6.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,si,si,no,si,no,si,no,no,nunca,igual,si,si,control sobre la mayoría de decisiones,muy probable,si
2013_bar_27,1.0,barranquilla,27.0,6.0,3.0,3.0,2.0,0.0,3.0,si,3.0,universitaria,0.0,2.0,no,casa,3.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,si,no,no,no,no,si,no,si,no,no,raramente,mejor,si,no,control sobre la mayoría de decisiones,algo probable,no
2013_bar_28,3.0,barranquilla,28.0,4.0,3.0,1.0,1.0,1.0,2.0,no,1.0,universitaria,1.0,2.0,si,casa,5.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,si,no,si,si,si,si,si,no,nunca,mejor,si,si,control sobre todas las decisiones,muy probable,no
2013_bar_29,3.0,barranquilla,29.0,4.0,1.0,3.0,0.0,2.0,2.0,no,0.0,universitaria,0.0,1.0,si,casa,6.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,si,no,no,si,si,no,nunca,igual,si,si,control sobre todas las decisiones,algo probable,no
2013_bar_31,2.0,barranquilla,31.0,8.0,5.0,3.0,3.0,0.0,5.0,no,0.0,básica secundaria,0.0,3.0,si,casa,5.0,no,no,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,no,no,si,si,no,no,no,no,no,si,no,si,no,no,nunca,igual,si,no,control sobre algunas decisiones,muy poco probable,ns/nr
2013_bar_32,3.0,barranquilla,32.0,3.0,0.0,3.0,0.0,1.0,2.0,si,0.0,básica primaria,2.0,0.0,si,casa,3.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,no,si,no,si,no,no,a menudo,peor,no,si,control sobre algunas decisiones,poco probable,si
2013_bar_33,1.0,barranquilla,33.0,4.0,1.0,3.0,2.0,0.0,2.0,no,2.0,básica secundaria,1.0,1.0,no,apartamento,3.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,si,si,no,si,no,no,nunca,peor,no,si,ningún control,muy poco probable,ns/nr
2013_bar_34,1.0,barranquilla,34.0,5.0,2.0,3.0,2.0,0.0,3.0,no,2.0,básica secundaria,3.0,3.0,si,casa,5.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,no,si,no,si,no,no,siempre,mejor,no,no,control sobre todas las decisiones,muy probable,ns/nr
2013_bar_35,1.0,barranquilla,35.0,7.0,2.0,5.0,2.0,0.0,5.0,si,1.0,universitaria,1.0,2.0,no,casa,3.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,si,si,si,si,si,si,si,no,nunca,mejor,si,si,control sobre algunas decisiones,muy poco probable,no
2013_bar_36,1.0,barranquilla,36.0,4.0,3.0,1.0,1.0,0.0,3.0,no,1.0,básica primaria,4.0,2.0,no,casa,4.0,no,no,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,no,no,si,si,no,no,no,no,no,no,no,si,no,no,a menudo,peor,no,no,control sobre la mayoría de decisiones,muy probable,si
2013_bar_37,1.0,barranquilla,37.0,9.0,3.0,6.0,3.0,1.0,4.0,si,3.0,universitaria,3.0,3.0,si,casa,4.0,no,no,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,no,no,no,si,no,no,raramente,igual,si,no,control sobre la mayoría de decisiones,algo probable,no
2013_bar_38,1.0,barranquilla,38.0,5.0,3.0,2.0,1.0,1.0,3.0,no,1.0,básica secundaria,0.0,4.0,no,casa,3.0,no,no,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,no,no,si,si,no,no,no,no,no,no,no,si,no,no,a veces,mejor,si,si,control sobre la mayoría de decisiones,poco probable,si
2013_bar_39,1.0,barranquilla,39.0,6.0,4.0,2.0,1.0,0.0,5.0,si,2.0,universitaria,6.0,2.0,si,casa,5.0,no,no,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,no,si,no,si,si,si,nunca,igual,no,no,control sobre la mayoría de decisiones,muy probable,si
2013_bar_40,1.0,barranquilla,40.0,4.0,2.0,2.0,0.0,1.0,3.0,no,0.0,universitaria,1.0,2.0,si,casa,4.0,no,no,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,si,no,no,si,no,no,a veces,igual,no,no,control sobre la mayoría de decisiones,poco probable,no
2013_bar_41,1.0,barranquilla,41.0,7.0,2.0,5.0,3.0,0.0,4.0,si,3.0,básica secundaria,1.0,3.0,no,casa,3.0,no,no,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,no,no,no,si,no,no,raramente,peor,no,no,control sobre la mayoría de decisiones,poco probable,si
2013_bar_42,1.0,barranquilla,42.0,4.0,2.0,2.0,2.0,0.0,2.0,si,2.0,media,0.0,1.0,si,casa,4.0,no,no,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,no,si,no,si,si,no,a veces,mejor,si,si,control sobre la mayoría de decisiones,algo probable,no
2013_bar_43,1.0,barranquilla,43.0,8.0,5.0,3.0,1.0,2.0,4.0,no,1.0,básica secundaria,2.0,4.0,no,casa,4.0,no,no,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,no,no,no,si,no,no,a veces,peor,si,si,control sobre la mayoría de decisiones,muy poco probable,si
2013_bar_44,1.0,barranquilla,44.0,5.0,3.0,2.0,3.0,0.0,2.0,no,3.0,universitaria,0.0,2.0,si,casa,3.0,no,no,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,si,si,no,si,si,no,nunca,mejor,si,si,control sobre todas las decisiones,poco probable,no
2013_bar_45,1.0,barranquilla,45.0,3.0,1.0,2.0,1.0,0.0,2.0,no,1.0,media,0.0,2.0,no,apartamento,2.0,no,no,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,si,no,no,si,no,si,si,no,nunca,mejor,si,no,control sobre la mayoría de decisiones,muy poco probable,no
2013_bar_46,1.0,barranquilla,46.0,5.0,2.0,3.0,3.0,0.0,2.0,no,3.0,universitaria,1.0,1.0,no,casa,3.0,no,no,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,no,no,si,si,si,no,nunca,mejor,si,no,control sobre la mayoría de decisiones,poco probable,no
2013_bar_47,1.0,barranquilla,47.0,10.0,6.0,4.0,4.0,0.0,5.0,si,5.0,básica secundaria,1.0,3.0,no,casa,5.0,no,no,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,no,no,no,si,si,no,raramente,peor,no,si,control sobre la mayoría de decisiones,poco probable,si
